Gene	MostFrequentPhenotype	numVariant	numPhenotypes	Date	MostFrequentInterpretation
EDA	Hypohidrotic ectodermal dysplasia	55	55	aug2014	Pathogenic
COL18A1	Knobloch syndrome 1	10	10	aug2014	Pathogenic
CADPS2	Lung cancer	9	9	aug2014	Uncertain significance
CCDC114	Ciliary dyskinesia, primary, 20	6	6	aug2014	Pathogenic
CCDC115	Malignant melanoma	1	1	aug2014	not provided
MCF2L	Lung cancer	2	2	aug2014	Uncertain significance
CCDC110	Malignant melanoma	1	1	aug2014	not provided
MEI4	Lung cancer	1	1	aug2014	Uncertain significance
MTCL1	Malignant melanoma	1	1	aug2014	not provided
ATP1A4	Malignant melanoma	2	2	aug2014	not provided
ATP1A3	Dystonia 12	18	18	aug2014	Pathogenic
ATP1A2	not provided	41	41	aug2014	Benign
ATP1A1	High-arched palate	1	1	aug2014	Pathogenic
MGRN1	Malignant melanoma	1	1	aug2014	not provided
CRTAP	Osteogenesis imperfecta type 7	8	8	aug2014	Pathogenic
CBLC	Malignant melanoma	1	1	aug2014	not provided
BPESC1	Lung cancer	1	1	aug2014	Uncertain significance
IPO11	Lung cancer	2	2	aug2014	not provided
C2CD2	Malignant melanoma	1	1	aug2014	not provided
CPEB4	Lung cancer	1	1	aug2014	Uncertain significance
CPEB3	Lung cancer	1	1	aug2014	Uncertain significance
CPEB2	Malignant melanoma	1	1	aug2014	not provided
RBMXL2	Malignant melanoma	1	1	aug2014	not provided
ABAT	Developmental delay and additional significan	9	9	aug2014	Pathogenic
CDH20	Lung cancer	1	1	aug2014	Uncertain significance
FRG1	Developmental delay and additional significan	7	7	aug2014	Uncertain significance
IFT80	Asphyxiating thoracic dystrophy 2	4	4	aug2014	Pathogenic
LOC100289495	Lung cancer	1	1	aug2014	Uncertain significance
DEPDC1	Malignant melanoma	1	1	aug2014	not provided
CNTF	CILIARY NEUROTROPHIC FACTOR POLYMORPHISM	1	1	aug2014	Benign
THUMPD2	Malignant melanoma	1	1	aug2014	not provided
GPR42	Malignant melanoma	2	2	aug2014	not provided
PHOX2A	Developmental delay and additional significan	8	8	aug2014	Pathogenic
PHOX2B	Congenital central hypoventilation	12	12	aug2014	Pathogenic
FAM193A	Malignant melanoma	3	3	aug2014	not provided
LRGUK	Malignant melanoma	5	5	aug2014	not provided
UPK2	Malignant melanoma	1	1	aug2014	not provided
CFH	Atypical hemolytic-uremic syndrome 1	35	35	aug2014	risk factor
CFI	Atypical hemolytic-uremic syndrome 3	13	13	aug2014	risk factor
PNP	Purine-nucleoside phosphorylase deficiency	14	14	aug2014	Pathogenic
CFD	Complement factor d deficiency	2	2	aug2014	Pathogenic
CFB	Malignant melanoma	16	16	aug2014	not provided
OR5P3	Malignant melanoma	2	2	aug2014	not provided
OR5P2	Malignant melanoma	2	2	aug2014	not provided
CREBBP	AllHighlyPenetrant	90	90	aug2014	not provided
ATP6V0E1	Lung cancer	1	1	aug2014	Uncertain significance
ATP6V0E2	Lung cancer	1	1	aug2014	Uncertain significance
CFP	Properdin deficiency, X-linked	5	5	aug2014	Pathogenic
LOC101927284	Lung cancer	2	2	aug2014	Uncertain significance
AAAS	Glucocorticoid deficiency with achalasia	12	12	aug2014	Pathogenic
LOC101927280	Lung cancer	1	1	aug2014	Uncertain significance
HAMP	Hemochromatosis type 2B	5	5	aug2014	Pathogenic
SIDT1	Malignant melanoma	1	1	aug2014	not provided
CDH24	Malignant melanoma	1	1	aug2014	not provided
SIX5	Branchiootorenal syndrome 2	4	4	aug2014	Pathogenic
SIX6	Cataract, microphthalmia and nystagmus	1	1	aug2014	Pathogenic
SAGE1	Malignant melanoma	2	2	aug2014	not provided
SIX1	Melnick-Fraser syndrome	9	9	aug2014	Pathogenic
SIX2	Malignant melanoma	3	3	aug2014	not provided
SIX3	Holoprosencephaly 2	17	17	aug2014	Pathogenic
TGIF2LX	Malignant melanoma	1	1	aug2014	not provided
NAALAD2	Malignant melanoma	3	3	aug2014	not provided
PLCZ1	Lung cancer	4	4	aug2014	not provided
KNDC1	Lung cancer	2	2	aug2014	not provided
LINC00305	Lung cancer	2	2	aug2014	not provided
AAGAB	Keratosis palmoplantaris papulosa	6	6	aug2014	Pathogenic
CDH26	Lung cancer	2	2	aug2014	not provided
C3orf70	Lung cancer	2	2	aug2014	Uncertain significance
PSMA3	Lung cancer	1	1	aug2014	Uncertain significance
ZFP82	Malignant melanoma	1	1	aug2014	not provided
NBEAP1	Global developmental delay	6	6	aug2014	Pathogenic
SYPL2	Malignant melanoma	1	1	aug2014	not provided
RFX8	Malignant melanoma	1	1	aug2014	not provided
RFX4	not provided	1	1	aug2014	Uncertain significance
RFX5	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENT	7	7	aug2014	Pathogenic
RFX6	AllHighlyPenetrant	20	20	aug2014	Likely benign
NRXN3	Lung cancer	24	24	aug2014	Uncertain significance
NRXN2	AllHighlyPenetrant	14	14	aug2014	Likely benign
NRXN1	not provided	86	86	aug2014	Benign
RFX3	Global developmental delay	2	2	aug2014	Uncertain significance
YDJC	Malignant melanoma	1	1	aug2014	not provided
IBA57	Multiple mitochondrial dysfunctions syndrome 	1	1	aug2014	Pathogenic
APC	Familial colorectal cancer	1425	1425	aug2014	other
ABCE1	Malignant melanoma	1	1	aug2014	not provided
UQCRC2	Mitochondrial complex III deficiency, nuclear	2	2	aug2014	Pathogenic
XPNPEP1	Lung cancer	3	3	aug2014	Uncertain significance
XPNPEP2	not provided	3	3	aug2014	not provided
XPNPEP3	Nephronophthisis-like nephropathy 1	2	2	aug2014	Pathogenic
GTSE1	Malignant melanoma	1	1	aug2014	not provided
PAPLN	Malignant melanoma	2	2	aug2014	not provided
ADNP	MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	5	5	aug2014	Pathogenic
KHDRBS3	Lung cancer	3	3	aug2014	Uncertain significance
KHDRBS2	Lung cancer	12	12	aug2014	Uncertain significance
STAC3	Native American myopathy	1	1	aug2014	Pathogenic
LHCGR	Gonadotropin-independent familial sexual prec	40	40	aug2014	Pathogenic
OR1Q1	Malignant melanoma	1	1	aug2014	not provided
INF2	Charcot-Marie-Tooth disease, dominant interme	13	13	aug2014	Pathogenic
C11orf1	Malignant melanoma	3	3	aug2014	not provided
TARS2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY	2	2	aug2014	Pathogenic
OSR1	Lung cancer	1	1	aug2014	Uncertain significance
IGFBP2	Malignant melanoma	1	1	aug2014	not provided
GSG1L	Lung cancer	2	2	aug2014	Uncertain significance
IGFBP7	Global developmental delay	5	5	aug2014	Pathogenic
MYCLP1	Developmental delay and additional significan	1	1	aug2014	Pathogenic
CYP2R1	Vitamin d hydroxylation-deficient rickets, ty	1	1	aug2014	Pathogenic
C15orf26	Lung cancer	1	1	aug2014	Uncertain significance
GJA1	Oculodentodigital dysplasia	23	23	aug2014	Pathogenic
GJA3	Zonular pulverulent cataract 3	9	9	aug2014	Pathogenic
GJA4	Malignant melanoma	1	1	aug2014	not provided
GJA5	Atrial fibrillation, familial, 11	9	9	aug2014	Pathogenic
GJA8	Cataract 1	10	10	aug2014	Pathogenic
CYP8B1	Malignant melanoma	2	2	aug2014	not provided
ARL2-SNX15	Lung cancer	1	1	aug2014	Uncertain significance
KDM3B	Malignant melanoma	1	1	aug2014	not provided
ZNF117	Malignant melanoma	1	1	aug2014	not provided
KDM3A	Malignant melanoma	2	2	aug2014	not provided
ZNF112	Malignant melanoma	5	5	aug2014	not provided
SEZ6L	Malignant melanoma	7	7	aug2014	not provided
ITGA8	Renal adysplasia	8	8	aug2014	Pathogenic
TMC6	Epidermodysplasia verruciformis	4	4	aug2014	Pathogenic
TMC7	Malignant melanoma	5	5	aug2014	not provided
TMC1	AllHighlyPenetrant	34	34	aug2014	Uncertain significance
TMC2	Malignant melanoma	1	1	aug2014	not provided
TMC3	Malignant melanoma	1	1	aug2014	not provided
EIF2B4	AllHighlyPenetrant	13	13	aug2014	Pathogenic
EIF2B5	Leukoencephalopathy with vanishing white matt	15	15	aug2014	Pathogenic
TMC8	Epidermodysplasia verruciformis	2	2	aug2014	Pathogenic
EIF2B3	Leukoencephalopathy with vanishing white matt	9	9	aug2014	Pathogenic
EIF2B1	Leukoencephalopathy with vanishing white matt	3	3	aug2014	Pathogenic
PRKAR2B	Lung cancer	1	1	aug2014	Uncertain significance
MAGT1	not provided	8	8	aug2014	Uncertain significance
IFT140	Renal dysplasia, retinal pigmentary dystrophy	17	17	aug2014	Pathogenic
RSPH9	Ciliary dyskinesia, primary, 12	4	4	aug2014	Pathogenic
MECOM	Malignant melanoma	10	10	aug2014	not provided
ITGA2B	Glanzmanns thrombasthenia	20	20	aug2014	Pathogenic
RSPH1	Primary ciliary dyskinesia 24	5	5	aug2014	Pathogenic
C9orf129	Malignant melanoma	1	1	aug2014	not provided
MYT1L	Lung cancer	7	7	aug2014	Uncertain significance
CFHR2	Malignant melanoma	2	2	aug2014	not provided
CFHR3	Malignant melanoma	2	2	aug2014	not provided
CFHR1	Global developmental delay	4	4	aug2014	Pathogenic
CLIC2	Global developmental delay	6	6	aug2014	Uncertain significance
NLGN3	not provided	6	6	aug2014	Uncertain significance
LRSAM1	Charcot-Marie-Tooth disease type 2P	3	3	aug2014	Pathogenic
CFHR5	not provided	11	11	aug2014	not provided
CLEC1A	Malignant melanoma	1	1	aug2014	not provided
RIT2	Lung cancer	6	6	aug2014	Uncertain significance
CASP5	Lung cancer	1	1	aug2014	Uncertain significance
FOXL2	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVE	28	28	aug2014	Pathogenic
RIT1	Noonan syndrome 8	6	6	aug2014	Pathogenic
FOXL1	Malignant melanoma	1	1	aug2014	not provided
LOC644717	Lung cancer	1	1	aug2014	Uncertain significance
C7orf72	Lung cancer	1	1	aug2014	Uncertain significance
RTKN2	Malignant melanoma	1	1	aug2014	not provided
SECISBP2L	Malignant melanoma	1	1	aug2014	not provided
HAS2	Lung cancer	1	1	aug2014	Uncertain significance
HLA-DPA1	Malignant melanoma	1	1	aug2014	not provided
LOC101928030	Lung cancer	1	1	aug2014	Uncertain significance
FER1L6	Lung cancer	3	3	aug2014	Uncertain significance
FER1L5	Malignant melanoma	2	2	aug2014	not provided
ZMAT3	Lung cancer	1	1	aug2014	Uncertain significance
ZMAT4	Lung cancer	4	4	aug2014	not provided
SMOC2	Lung cancer	6	6	aug2014	Uncertain significance
SMOC1	Anophthalmos with limb anomalies	3	3	aug2014	Pathogenic
CASP9	Global developmental delay	7	7	aug2014	Pathogenic
ITGB1BP1	Malignant melanoma	1	1	aug2014	not provided
ITGB1BP2	not provided	1	1	aug2014	Uncertain significance
ZNF7	Lung cancer	2	2	aug2014	not provided
CTCFL	Malignant melanoma	3	3	aug2014	not provided
ZAP70	Severe combined immunodeficiency, atypical	13	13	aug2014	Pathogenic
LOC284294	Lung cancer	1	1	aug2014	Uncertain significance
SYNDIG1	Lung cancer	3	3	aug2014	Uncertain significance
OGFR	Developmental delay and additional significan	1	1	aug2014	Pathogenic
CDC5L	Malignant melanoma	3	3	aug2014	not provided
RAC2	not provided	5	5	aug2014	Benign
RAC3	Malignant melanoma	1	1	aug2014	not provided
RAC1	Intellectual functioning disability	1	1	aug2014	Pathogenic
SBDS	Shwachman syndrome	16	16	aug2014	Pathogenic
VCL	AllHighlyPenetrant	84	84	aug2014	Benign
VCP	Inclusion body myopathy with early-onset page	12	12	aug2014	Pathogenic
AP2A1	Malignant melanoma	1	1	aug2014	not provided
AP2A2	Developmental delay and additional significan	7	7	aug2014	Pathogenic
NIM1K	Malignant melanoma	3	3	aug2014	not provided
CADPS	Lung cancer	1	1	aug2014	Uncertain significance
FIGNL1	Malignant melanoma	1	1	aug2014	not provided
PBX3	Malignant melanoma	2	2	aug2014	not provided
PBX1	Lung cancer	4	4	aug2014	not provided
AIRE	Polyglandular autoimmune syndrome, type 1	62	62	aug2014	not provided
NSUN3	Malignant melanoma	1	1	aug2014	not provided
NSUN2	AllHighlyPenetrant	13	13	aug2014	Likely benign
NSUN5	Malignant melanoma	2	2	aug2014	not provided
NSUN4	Lung cancer	1	1	aug2014	Uncertain significance
NSUN6	Lung cancer	1	1	aug2014	Uncertain significance
TUBG1	Cortical dysplasia, complex, with other brain	4	4	aug2014	Pathogenic
PRAMEF7	Malignant melanoma	1	1	aug2014	not provided
FAM71F1	Malignant melanoma	1	1	aug2014	not provided
PRAMEF1	Malignant melanoma	4	4	aug2014	not provided
PRAMEF2	Malignant melanoma	10	10	aug2014	not provided
PTCH2	Gorlin syndrome	5	5	aug2014	Pathogenic
PTCH1	Gorlin syndrome	137	137	aug2014	Uncertain significance
TIMM44	not provided	19	19	aug2014	Benign
TUFM	not provided	5	5	aug2014	Benign
NPAS2	Malignant melanoma	1	1	aug2014	not provided
ERGIC2	Developmental delay and additional significan	1	1	aug2014	Benign
ERGIC3	Malignant melanoma	1	1	aug2014	not provided
ERGIC1	Malignant melanoma	3	3	aug2014	not provided
CLEC14A	Developmental delay and additional significan	2	2	aug2014	not provided
CLU	Malignant melanoma	1	1	aug2014	not provided
B3GAT3	Multiple joint dislocations, short stature, c	1	1	aug2014	Pathogenic
SRSF11	Malignant melanoma	1	1	aug2014	not provided
CPPED1	Malignant melanoma	1	1	aug2014	not provided
UXT	Malignant melanoma	1	1	aug2014	not provided
CALM3	Seizure	1	1	aug2014	Uncertain significance
SPG21	Mast syndrome	2	2	aug2014	Pathogenic
SPG20	Troyer syndrome	3	3	aug2014	Pathogenic
GSDMA	Malignant melanoma	3	3	aug2014	not provided
GSDMC	Malignant melanoma	1	1	aug2014	not provided
UPK1B	Lung cancer	1	1	aug2014	Uncertain significance
DLGAP2	Lung cancer	6	6	aug2014	Uncertain significance
DLGAP3	Lung cancer	4	4	aug2014	not provided
DLGAP1	Lung cancer	4	4	aug2014	not provided
SRPX2	not provided	12	12	aug2014	Benign
DLGAP5	Malignant melanoma	1	1	aug2014	not provided
BRDT	Developmental delay and additional significan	2	2	aug2014	not provided
MBNL1	Lung cancer	2	2	aug2014	Uncertain significance
A1BG	Developmental delay and additional significan	4	4	aug2014	Pathogenic
OIP5	Lung cancer	1	1	aug2014	Uncertain significance
CLCN3	Global developmental delay	3	3	aug2014	Pathogenic
CLCN2	LEUKOENCEPHALOPATHY WITH ATAXIA	11	11	aug2014	Pathogenic
CLCN1	Myotonia congenita	51	51	aug2014	Pathogenic
CLCN7	Osteopetrosis autosomal recessive 4	14	14	aug2014	Pathogenic
CLCN6	Global developmental delay	2	2	aug2014	Pathogenic
CLCN5	Dent disease 1	26	26	aug2014	Pathogenic
CLCN4	not provided	3	3	aug2014	Uncertain significance
PCDHGA1	Malignant melanoma	2	2	aug2014	not provided
BRD2	AllHighlyPenetrant	3	3	aug2014	Benign
DOLPP1	Malignant melanoma	1	1	aug2014	not provided
TGFBR3	Lung cancer	1	1	aug2014	Uncertain significance
PTPN13	Malignant melanoma	1	1	aug2014	not provided
PTPN12	Carcinoma of colon	2	2	aug2014	other
PTPN11	Rasopathy	257	257	aug2014	Pathogenic
MYCBP	Malignant melanoma	1	1	aug2014	not provided
PTPN14	Lung cancer	4	4	aug2014	Uncertain significance
GALR1	Developmental delay and additional significan	5	5	aug2014	Pathogenic
UTRN	Lung cancer	2	2	aug2014	not provided
C1orf158	Malignant melanoma	2	2	aug2014	not provided
PCDH20	Malignant melanoma	1	1	aug2014	not provided
CSF2RB	Malignant melanoma	8	8	aug2014	Pathogenic
CSF2RA	Surfactant metabolism dysfunction, pulmonary,	3	3	aug2014	Pathogenic
DMD	not provided	648	648	aug2014	Pathogenic
MRPL23	Developmental delay and additional significan	1	1	aug2014	Pathogenic
SDK1	Malignant melanoma	7	7	aug2014	not provided
GAB4	Lung cancer	2	2	aug2014	Uncertain significance
FAAH2	AllHighlyPenetrant	2	2	aug2014	Benign
C16orf78	Lung cancer	2	2	aug2014	not provided
GAB3	Malignant melanoma	1	1	aug2014	not provided
GAB1	Global developmental delay	2	2	aug2014	Pathogenic
C2orf80	Malignant melanoma	3	3	aug2014	not provided
DMRTB1	Malignant melanoma	1	1	aug2014	not provided
NPTX2	Global developmental delay	2	2	aug2014	not provided
HABP2	Malignant melanoma	6	6	aug2014	not provided
NDRG1	Charcot-Marie-Tooth disease, type 4D	5	5	aug2014	Pathogenic
NDRG4	Malignant melanoma	2	2	aug2014	not provided
ZSCAN2	Malignant melanoma	1	1	aug2014	not provided
SRSF4	Malignant melanoma	1	1	aug2014	not provided
SRSF1	Developmental delay and additional significan	1	1	aug2014	Pathogenic
SRSF3	Malignant melanoma	1	1	aug2014	not provided
SRSF2	Malignant melanoma	3	3	aug2014	not provided
DNAJB13	Malignant melanoma	1	1	aug2014	not provided
RAPH1	Malignant melanoma	1	1	aug2014	not provided
VIL1	Malignant melanoma	1	1	aug2014	not provided
PARP11	Lung cancer	1	1	aug2014	Uncertain significance
RNF135	Macrocephaly, macrosomia, facial dysmorphism 	6	6	aug2014	Pathogenic
GID4	Malignant melanoma	1	1	aug2014	not provided
CDK6	Lung cancer	1	1	aug2014	Uncertain significance
TSHZ2	Malignant melanoma	8	8	aug2014	not provided
TSHZ3	Malignant melanoma	4	4	aug2014	not provided
TSHZ1	Aural atresia, congenital	3	3	aug2014	Pathogenic
MRC2	Malignant melanoma	2	2	aug2014	not provided
CDK8	Malignant melanoma	3	3	aug2014	not provided
ZNF582	not provided	2	2	aug2014	Uncertain significance
TIPARP	Malignant melanoma	1	1	aug2014	not provided
HAPLN4	Lung cancer	1	1	aug2014	Uncertain significance
CHST8	Malignant melanoma	5	5	aug2014	not provided
HAPLN1	Malignant melanoma	1	1	aug2014	not provided
CAMKK2	Malignant melanoma	1	1	aug2014	not provided
CAMKK1	Malignant melanoma	1	1	aug2014	not provided
NPTXR	Malignant melanoma	2	2	aug2014	not provided
OR8U1	Malignant melanoma	1	1	aug2014	not provided
MYO1H	Malignant melanoma	1	1	aug2014	not provided
MYO1G	Malignant melanoma	1	1	aug2014	not provided
MYO1F	Malignant melanoma	1	1	aug2014	not provided
MYO1E	Lung cancer	6	6	aug2014	Uncertain significance
MYO1D	Lung cancer	2	2	aug2014	Uncertain significance
MYO1B	Lung cancer	1	1	aug2014	Uncertain significance
MYO1A	AllHighlyPenetrant	22	22	aug2014	Pathogenic
CHST1	Malignant melanoma	4	4	aug2014	not provided
KIAA0391	Lung cancer	1	1	aug2014	Uncertain significance
DENND6B	Malignant melanoma	1	1	aug2014	not provided
BCR	Developmental delay and additional significan	18	18	aug2014	Pathogenic
DENND6A	Malignant melanoma	1	1	aug2014	not provided
OR52N4	Malignant melanoma	2	2	aug2014	not provided
PGBD5	Malignant melanoma	2	2	aug2014	not provided
OR52N2	Malignant melanoma	1	1	aug2014	not provided
CTPS1	IMMUNODEFICIENCY 24	2	2	aug2014	Pathogenic
OR52N1	Malignant melanoma	1	1	aug2014	not provided
SULT6B1	Lung cancer	1	1	aug2014	Uncertain significance
HOXA13	Hand foot uterus syndrome	8	8	aug2014	Pathogenic
HOXA11	Radioulnar synostosis with amegakaryocytic th	1	1	aug2014	Pathogenic
HOXA10	Malignant melanoma	1	1	aug2014	not provided
PPIAL4G	Malignant melanoma	1	1	aug2014	not provided
GALNTL5	Malignant melanoma	3	3	aug2014	not provided
SRC	not provided	14	14	aug2014	not provided
NEMF	Malignant melanoma	1	1	aug2014	not provided
GALNTL6	Lung cancer	9	9	aug2014	Uncertain significance
SRI	Global developmental delay	3	3	aug2014	Uncertain significance
ZNF329	Malignant melanoma	2	2	aug2014	not provided
